Molecular_weight MW (g/mol),pKa,Log P,Log S,Polar Surface Area (Å2),Polarizability (Å3),HOMO (eV),LUMO (eV),Electronegativity (eV), ΔN_Fe ,IE EXP (%),IE ARX (%),IE GBR POLY 60 40 2 (%),IE CatBoost POLY 60 40 2 (%),IE Random Forest 70 30 (%)
194.19,14,-0.07,-0.97,58.44,18.96,-5.769,-1.977,3.873,0.824630802,92,91.45408652,86.27283476,85.94398005,88.92470288
353.3,4.7,1.98,-4.5,109.42,34.35,-6.399,-3.522,4.9605,0.708898158,NaN,87.44603709,92.25406245,92.58624,87.94700447
151.16,9.9,0.91,-1.6,49.33,15.52,-5.494,-1.646,3.57,0.891372141,85.8,89.05448136,85.91853581,85.91853581,86.89514377
222.3,8.8,-0.26,-2.36,115.04,19.16,-7.01,-3.358,5.184,0.497261774,93,89.00559774,93.0885083,93.0885083,90.86670927
60.05,4.8,-0.17,1.22,37.3,5.34,-6.816,-1.07,3.943,0.532022276,92,88.55171516,92.03079883,92.03079883,90.68992013
326.5,9.3,4.3,-4.5,25.2,37.17,-4.924,-2.529,3.7265,1.366805846,NaN,97.73140708,93.17992587,93.00731124,92.08525687
353.5,9.87,4.27,-5.3,29.54,40.82,-5.163,-1.485,3.324,0.999456226,NaN,89.42183757,92.47303949,92.49193292,91.71196933
275.4,9.1,3.46,-3.1,29.54,31.7,-5.284,-1.511,3.3975,0.954810496,NaN,88.74006371,94.5982737,94.77081369,93.52234952
261.36,8.7,3.24,-2.7,29.54,29.83,-5.302,-1.501,3.4015,0.946724546,NaN,88.45488979,95.56685946,96.48464124,94.31365176
249.35,9.6,3.1,-3.1,41.49,29.38,-5.694,-1.455,3.5745,0.808091531,NaN,88.38157268,85.65030218,86.04884205,91.9286722
151.25,10.8,2.44,-3.2,26.02,17.92,-5.969,5.844,0.0625,0.587276729,NaN,92.43161872,84.12057263,84.96962204,83.14899681
137.14,3.38,0.83,-0.4,63.32,13.44,-5.922,-2.122,4.022,0.783684211,80,85.88439268,84.34080466,84.45774388,83.57180511
131.17,4.43,-2.95,-0.46,63.32,14.71,-6.178,-0.508,3.343,0.644973545,NaN,86.20485523,86.33562123,85.92191763,86.95238978
420.43,5,-3.03,-0.9,69.3,16.86,-5.869,-2.115,3.992,0.801278636,87,86.79138358,89.81142985,90.41528668,89.16505687
194.19,3.64,-0.89,-1.8,92.42,19.13,-6.037,-2.391,4.214,0.764125069,NaN,86.25387588,85.67847301,85.05169737,87.07530032
440.4,5.5,0.25,-3.6,219.33,44.13,-5.663,-2.923,4.293,0.987956204,NaN,90.2675025,89.71289656,90.07794941,91.8077623
153.14,2.05,0.89,-1.1,83.55,14.29,-5.978,-2.062,4.02,0.760980592,NaN,85.06470137,86.33074311,86.26149104,85.43477636
277.4,9.4,4.92,-4.39,3.24,33.74,-5.211,-1.887,3.549,1.03820698,94,90.51127549,94.04065577,94.04065577,93.20710032
226.27,8,2.07,-2.57,75.27,23.45,-6.679,-2.413,4.546,0.575246132,NaN,88.81974832,89.37881421,89.21864996,89.37494569
365.4,2.4,0.87,-2.6,132.96,35.52,-5.999,-1.885,3.942,0.743315508,94.47,85.0704749,91.80922461,92.15813493,86.16540575
349.4,2.7,1.35,-2.8,112.73,34.54,-6.158,-1.973,4.0655,0.701194743,92.8,85.35840769,92.86474017,92.86474017,90.64733227
135.21,9.8,1.8,-1.9,26.02,16.17,-6.185,-1.386,3.7855,0.669827047,NaN,88.9853104,91.60674226,91.65269135,85.83391374
924.1,3.58,0.8,-4,319.61,99.45,-5.274,-3.29,4.282,1.369959677,NaN,97.55506591,92.68089916,92.5118184,91.78856805
352.5,8.88,3.7,-4.5,55.56,40.98,-5.109,-1.551,3.33,1.031478359,NaN,89.33789155,93.06461167,93.04593816,92.30130607
252.26,4.1,2.88,-4.3,43.37,26.3,-5.604,-3.344,4.474,1.117699115,NaN,92.77099366,90.55879976,90.94094391,93.12140958
265.35,10,3.22,-3.4,27.63,30.11,-5.223,-1.648,3.4355,0.997062937,NaN,89.84608279,93.37580294,93.38410769,92.60776038
188.33,2.2,0.38,-0.6,23.55,20.4,-5.313,-1.894,3.6035,0.993419128,95.7,86.25207675,88.27442297,89.31705964,86.85047604
267.32,7,3.1,-2.7,43.7,29.7,-5.239,-2.01,3.6245,1.045370084,NaN,89.63190661,90.16603679,90.12618545,93.48180192
210.23,7.8,1.15,-1.6,75.27,20.5,-6.689,-2.459,4.574,0.573522459,NaN,88.70884961,93.41612323,93.41612323,88.2394345
155.19,7.6,0.35,0.81,29.54,17.1,-5.358,-2.302,3.83,1.037303665,96.97,90.57812968,92.52134285,93.2865519,89.54242492
176.12,4.7,-1.85,0.14,107.22,14.93,-5.9,-2.042,3.971,0.785121825,82.9,86.49249105,83.0801928,83.0801928,85.02286262
180.16,3.5,1.8,-2.1,63.6,17.1,-6.587,-2.796,4.6915,0.608942232,77.91,86.20336024,78.17472831,78.17472831,79.81169329
289.4,9.7,1.83,-2.12,49.77,31.28,-5.466,-1.712,3.589,0.908630794,92,89.1637812,92.07796282,92.07796282,90.5212524
184.19,7.8,0.65,-1.37,75.27,17.59,-6.699,-2.427,4.563,0.570458801,NaN,88.7440338,93.03572739,93.06937866,88.37601278
128.08,4,-1.47,-1.5,82.25,10.28,-6.967,-2.652,4.8095,0.50764774,97.7,87.14107758,90.34466193,90.36663665,89.52216102
155.19,11.2,0.44,-0.79,46.17,16.22,-6.491,-1.943,4.217,0.611917326,NaN,90.32091879,88.60738711,88.97054264,87.28308946
228.24,3,2.3,,35.53,24.92,-6.248,-2.04,4.144,0.678707224,95,85.6164572,85.04525575,85.66257511,87.51706518
165.1891,2.8,1.86,-1.8,52.32,17.46,-5.826,-1.973,3.8995,0.804697638,NaN,85.45734282,85.65427747,84.83563905,86.11172524
334.39,2.74,1.83,-3.1,86.71,33.54,-6.081,-1.846,3.9635,0.717001181,79.6,85.25636128,79.843992,79.843992,82.8673623
122.123,4.2,1.87,-1.2,37.3,11.97,-6.661,-2.706,4.6835,0.585714286,85,86.65577156,90.48000859,90.49275692,86.96708754
260.25,13.68,0.92,-2.8,90.06,24.96,-6.526,-3.669,5.0975,0.665908295,NaN,91.90368856,87.52843867,88.51410633,89.24458722
239.5,6.6,1.87,-1.55,37.3,11.9,-6.528,-3.674,5.101,0.66538192,NaN,88.15800177,92.84536455,93.62025873,89.56530351
107.15,9.3,1.09,-1,26.02,12.32,-6.131,-1.347,3.739,0.681647157,95,88.60452392,94.98347955,94.98347955,91.36449201
404.5,5.9,1.7,-2.9,68.31,45.27,-5.328,-1.38,3.354,0.923505572,NaN,86.60118713,95.33212311,94.66482357,91.92861278
136.19,10.1,0.68,-0.44,24.92,15.85,-5.613,-1.72,3.6665,0.856280503,NaN,89.12984769,91.93794433,91.75217052,88.10909585
177.25,10.6,0.49,-2,36.42,20.43,-5.099,-1.749,3.424,1.067462687,NaN,91.12350596,89.47436238,88.95089311,85.39258466
408.4,3.1,2.18,-3.8,119.36,39.98,-6.251,-3.125,4.688,0.739603327,NaN,86.5402708,91.05334855,90.57910611,88.20498786
394.5,8,1,,51.2,,-4.885,-1.363,3.124,1.100511073,98.4,89.08151942,90.38027186,90.61686863,89.6601853
288.4,8.1,3.6,-3.5,32.4,34.19,-5.294,-1.399,3.3465,0.937997433,NaN,87.87748273,90.55896095,90.49831689,92.78845176
212.25,7.9,1.5,-2.2,75.27,21.41,-6.681,-2.444,4.5625,0.57528912,NaN,88.75500952,89.26821188,89.26821188,86.17689457
194.23,8.4,3.57,-2.6,46.53,21.45,-6.283,-2.25,4.2665,0.677783288,NaN,88.56956579,87.29356688,87.16641733,86.38785304
1321.4,10.62,-9.609,,378.42,66.56,-5.529,-2.256,3.8925,0.949434769,NaN,91.05487543,88.41865121,88.95905679,90.01108946
182.65,4.8,-3.78,-2.4,53.32,16.08,-6.248,1.892,2.178,0.592383292,NaN,87.97910398,88.34224128,88.50677334,84.62025879
378.4,3.11,1.13,-3,124.01,36.39,-6.451,-2.139,4.295,0.627319109,NaN,85.93346439,92.40254413,92.63595592,88.74207029
570.8,6.7,6.4,-5.9,117.97,64.99,-5.779,-2.333,4.056,0.854323854,NaN,88.2944432,92.08951914,92.0256708,91.67201597
347.4,3.6,0.6,-3.1,112.73,32.52,-5.914,-2.024,3.969,0.779177378,76.9,85.87614525,77.23331123,77.23331123,81.46194313
405.4,2.5,-0.3,-3.4,139.03,37.64,-6.071,-2.858,4.4645,0.789137877,NaN,86.31996769,91.91150908,91.91150908,87.97445879
415.5,3.4,1.9,-4.8,96.91,41.49,-5.31,-3.426,4.368,1.397027601,NaN,98.57707093,90.03292079,90.67381716,91.65008818
396.4,2.4,-0.41,-3.9,113.01,37.22,-6.109,-2.801,4.455,0.769347037,92,86.06030224,92.01050227,92.01050227,90.68243259
423.5,2.15,-0.1,-3.4,125.9,40.63,-6.255,-2.889,4.572,0.721330957,82.5,85.72930481,82.7991434,82.7991434,86.37438339
454.5,2.3,-0.58,-3,156.09,41.44,-6.126,-2.967,4.5465,0.776669832,93.9,86.24328538,93.91869086,93.91869086,91.1143131
349.4,2.6,0.7,-2.6,112.73,33.19,-5.82,-2.612,4.216,0.867830424,95,86.68972129,94.94077205,94.94077205,91.9074377
266.4,8.2,3,-3.6,6.48,31.53,-5.114,-1.62,3.367,1.039782484,NaN,89.22980076,94.10307771,93.96618447,93.70999361
236.27,7.5,1.96,-2.5,75.27,23.94,-6.386,-2.357,4.3715,0.652395135,NaN,88.18610613,86.15773726,86.1170255,88.08437508
141.25,3.5,2.86,-2.5,12.03,18,-5.468,5.648,-0.09,0.637819359,NaN,84.92458787,82.7424674,81.5888924,84.11019489
291.4,7.9,2.4,-2.3,49.77,32.51,-5.404,-1.675,3.5395,0.927996782,NaN,88.26217435,93.13906477,93.13906477,91.58674121
102.09,4.5,-0.9,0.93,64.35,8.87,-5.811,-0.82,3.3155,0.738228812,NaN,85.2518606,87.41647464,87.46843333,89.60779233
252.34,6.8,0.4,-1.35,88.89,27.47,-5.68,-0.732,3.206,0.766774454,97.9,86.17393725,97.82254543,97.82254543,93.27104153
294.4,8.3,2.82,-2.9,36.36,33.1,-5.803,-2.681,4.242,0.883408072,NaN,89.97154983,94.61303692,95.13597716,93.09046901
343.5,8.5,4.4,-3.7,54.46,40.78,-5.323,-2.722,4.0225,1.144752018,NaN,93.80410578,94.75023192,94.85749208,92.86457508
243.22,4.3,-2.8,-0.74,128.61,22.21,-6,-2.193,4.0965,0.762674022,NaN,86.392472,91.26089132,91.20195598,87.54321214
192.12,2.79,-1.64,0.51,132.13,15.54,-6.612,-1.975,4.2935,0.58367479,99,86.13739802,98.97048473,98.97048473,92.40888498
303.35,8.4,2.3,-2.23,55.84,32.36,-5.581,-2.486,4.0335,0.958481422,93.6,90.46166428,93.61626971,93.61626971,92.37834058
299.4,7.9,1.39,-1.52,41.93,31.95,-5.096,-1.131,3.1135,0.980201765,NaN,87.44300405,89.25199293,89.2151649,89.46358786
399.4,1.7,1.07,-4.2,83.09,42.41,-5.49,-2.897,4.1935,1.082337061,95,89.65221388,86.4678357,86.18505994,91.86296805
182.18,4.42,-0.24,-2.1,99.73,17.78,-5.117,-2.287,3.702,1.165371025,NaN,90.70227198,83.92741141,83.82573179,87.71009712
314.25,7.5,1.7,-3.6,120.73,29.98,-6.054,-3.773,4.9135,0.914730381,NaN,91.96095597,91.37043599,90.70590941,87.90905176
248.301,2.41,0.97,-2.82,86.18,25.05,-5.83,-2.107,3.9685,0.814262691,NaN,85.46353986,82.21431512,82.08050083,89.10325495
527.5,8.2,1.83,-2.9,185.84,52.94,-5.866,-4.011,4.9385,1.111320755,NaN,96.67480386,88.81950032,89.16080743,91.49544473
175.23,11.9,0.75,-2.3,53.11,19.48,-5.449,-1.498,3.4735,0.892558846,NaN,89.85306176,89.52593226,88.63296657,85.57214696
402.5,5,3.37,-4.8,88.5,44.81,-6.07,-2.33,4.2,0.748663102,NaN,86.86302962,86.75191535,86.86550538,89.08871565
578.7,6.68,3.3,-4.7,109,62.59,-4.921,-2.424,3.6725,1.332599119,NaN,95.29521334,93.59325172,93.51206705,91.94899553
266.4,10.2,4.9,-3.66,15.27,31.74,-5.032,-1.448,3.24,1.049107143,NaN,89.94693474,93.70209625,93.48011951,92.60389776
271.4,8.3,3.6,-4.5,12.47,31.77,-4.974,-1.342,3.158,1.057819383,NaN,88.75491398,93.9401984,93.79927066,93.24756869
392.5,7,3.61,-4.4,32.78,44.36,-4.943,-1.676,3.3095,1.12962963,NaN,89.77003142,95.07094918,94.7797623,92.4101131
105.14,8.9,-1.43,0.65,52.49,11.63,-5.798,6.52,-0.361,0.597580776,88.7,90.7592454,83.59568376,83.60913819,86.48273482
73.14,11,0.76,0.54,12.03,9.72,-5.505,6.84,-0.6675,0.621101661,80.61,90.00851277,80.82152766,80.82152766,83.12829712
255.35,9,3.27,-3.5,12.47,29.86,-5.274,-1.63,3.452,0.973655324,NaN,89.08085304,94.5278709,94.19245822,94.40922684
452.6,7.1,6.3,-5.5,53.33,51.58,-5.114,-1.829,3.4715,1.07412481,NaN,89.56007623,92.92432024,92.93252448,91.74144409
301.4,8.8,1.55,,41.93,32.79,-4.857,-1.198,3.0275,1.085679147,NaN,88.90627125,92.0072105,91.46641107,91.03636741
563.7,6.91,2.33,-3.2,118.21,62,-5.13,-1.555,3.3425,1.023076923,NaN,88.2275806,92.29915768,92.3893842,92.12913227
577.7,6.89,5.9,-3.3,118.21,64.05,-5.057,-1.748,3.4025,1.087186461,NaN,89.38884118,92.55385558,92.63590576,92.32885942
611.7,6.89,5.86,-4.1,121.7,67.82,-5.122,-1.631,3.3765,1.037954741,NaN,88.54623593,93.25473894,93.32148115,92.34757827
583.7,6.9,2.4,-3.4,118.21,63.3,-5.394,-1.743,3.5685,0.939879485,NaN,87.95165857,92.05005784,92.14719323,92.24283195
583.6,8,-8.2,-1.6,334.59,56.06,-5.337,0.181,2.578,0.801377311,88.5,85.44945926,86.24652505,86.48276283,89.07801917
354.5,4.9,2.7,-3.5,97.99,40.86,-6.02,-1.077,3.5485,0.698260166,NaN,85.9904005,86.3713614,86.70611189,88.65822173
504.6,6.4,1.5,-2.7,145.44,56.94,-4.344,-1.826,3.085,1.554805401,NaN,97.28099294,90.49246028,89.94847849,90.91151565
339.5,8.36,2.58,-3.8,59.22,38.82,-4.824,-2.135,3.4795,1.309222759,NaN,94.73273262,92.11502027,92.07860985,91.71912013
279.4,8,4.3,-3.9,12.5,32.47,-5.25,-2.06,3.655,1.048589342,NaN,90.32524284,95.28611832,94.91013008,93.05243706
444.4,3.09,-0.7,-2.8,182,43.65,-5.693,-3.454,4.5735,1.083742742,95.9,91.89911762,91.06076443,90.99025986,90.75463387
270.37,9.2,2.5,-2.7,25.4,31.09,-5.266,-1.839,3.5525,1.005981908,NaN,89.94997288,95.17725902,95.93317029,93.17219808
543.5,9.46,1.27,-2.7,206.07,53.87,-5.859,-4.004,4.9315,1.11509434,NaN,97.40232443,90.17856346,90.51987057,90.4201508
165.23,9.6,1.13,-1.3,32.3,18.8,-5.886,-1.35,3.618,0.745590829,84,88.38138738,84.21543297,84.21543297,85.7217393
480.6,9.11,4.7,-5.2,52.19,54.92,-4.838,-1.303,3.0705,1.111598303,93.09,89.62186811,93.09857529,93.09857529,92.46276358
183.2,8.59,-1.37,-0.99,72.7,19.04,-5.488,-1.342,3.415,0.864688857,NaN,87.7461232,92.02853718,91.5390999,88.14861342
266.3,9.8,3.5,-4.7,37.3,30.1,-5.633,-2.502,4.0675,0.936601725,NaN,90.989234,90.31575752,90.51962433,91.57364792
325.4,7.3,0.9,-3,68.36,36.54,-5.437,-2.32,3.8785,1.001443696,NaN,90.01648606,90.11993033,90.29873416,91.09711949
581.7,6.3,2,-3.4,118,62.23,-5.212,-2.358,3.785,1.126489138,NaN,91.29857523,92.48130692,92.59044849,92.12935016
733.9,8.88,2.6,-3.2,193.91,78.21,-5.336,-2.008,3.672,1,NaN,90.11276992,91.60328022,91.75150924,92.37459681
303.35,7.6,0.98,-1.7,62.3,31.41,-5.181,-1.876,3.5285,1.050378215,86,89.66921803,86.17647311,86.17647311,87.72323003
332.35,6.95,-2.3,-0.35,130,33.39,-5.158,-1.917,3.5375,1.068343104,NaN,89.64220766,89.07761004,88.28417646,88.34907348
296.4,10.7,3.67,-4.3,40.5,34.53,-5.573,-1.306,3.4395,0.834426998,NaN,88.76422386,85.61525586,86.56831218,90.65860319
204.31,9.55,-0.3,-1.4,64.5,24.47,-5.922,5.882,0.02,0.591324975,NaN,91.46686014,83.33242785,84.20386061,84.83785304
61.08,9.5,-1.31,1.14,46.2,6.63,-5.957,6.913,-0.478,0.581041181,NaN,92.57708329,82.95769019,83.79364042,85.53688818
45.08,10.7,-0.13,0.9,26,5.75,-6.042,7.222,-0.59,0.572225573,96.4,94.1221236,81.71552046,82.4914348,86.20145687
276.4,7.7,4.46,-3.2,32.3,33.47,-5.382,-1.42,3.401,0.908379606,NaN,87.5585516,91.04306627,90.96188271,92.95830799
261.36,8.69,2.8,-2.7,29.5,29.92,-5.082,-1.524,3.303,1.039066892,NaN,89.24304272,95.81435655,96.38835026,93.9381853
258.3,8.1,2.01,-3.81,82.28,25.27,-6.384,-3.101,4.7425,0.687633262,NaN,88.84293513,86.38863833,85.44735612,88.32958211
179.22,2.2,1.58,-2.37,38.33,19.82,-5.294,-1.523,3.4085,0.952399894,NaN,85.10104972,89.07981811,88.39199161,84.64977316
321.5,8.5,4.08,-4.6,23.47,37.92,-5.153,-1.424,3.2885,0.995307053,NaN,88.52419815,93.46339433,93.26803605,92.61116741
191.27,7.6,2.17,-1.9,12.47,22.18,-5.333,-1.42,3.3765,0.926015845,NaN,87.59076118,95.96744017,96.05496915,88.59647923
364.4,2.7,1.33,-3,95.94,36.74,-5.996,-1.884,3.94,0.744163424,NaN,85.22769099,86.73423293,86.84565185,88.12943898
205.26,11.8,-0.83,-3,97.78,22.14,-5.109,-1.197,3.153,0.983384458,NaN,89.67136796,87.76927624,87.36097626,86.18303514
308.4,4.4,3.16,-3.81,40.62,34.15,-5.769,-1.9,3.8345,0.81817007,NaN,86.24798307,92.09097505,92.10331334,92.1768901
